municipio,vereda,coordenada_x,coordenada_y,latitud,longitud,altura,cuenca_hidrogr_fica,fen_meno_natural,n_mero_informe,fecha_reporte,enlace_a_reporte,tipo_fenomeno_normalizado,categoria_fenomeno,altura_msnm,coordenadas_validas,fecha_reporte_dt,año,mes,dia,dias_desde_evento,url_reporte,tiene_reporte,nivel_riesgo,id_fenomeno
PASTO,Jamondino,4524419,1689768,1.188839,-77.272563,2615,Río Juanambú,Avenida torrencial quebrada Guachucal represamiento,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",AVENIDA TORRENCIAL QUEBRADA GUACHUCAL REPRESAMIENTO,AVENIDA_TORRENCIAL,2615,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,ALTO,1
PASTO,Santa Elena,4525650,1688285,1.175471,-77.261504,2725,Río Juanambú,Avenida torrencial vereda Santa Helena,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",AVENIDA TORRENCIAL VEREDA SANTA HELENA,AVENIDA_TORRENCIAL,2725,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,ALTO,2
PASTO,Santa Elena,4525796,1688233,1.175004,-77.260194,2732,Río Juanambú,Estructura hidráulica obstruida,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",ESTRUCTURA HIDRÁULICA OBSTRUIDA,OTRO,2732,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,BAJO,3
PASTO,Santa Elena,4525960,1687956,1.172506,-77.25872,2759,Río Juanambú,Valle de las Piedras,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",VALLE DE LAS PIEDRAS,OTRO,2759,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,BAJO,4
PASTO,Santa Elena,4526479,1687726,1.170437,-77.254063,2795,Río Juanambú,Avenida torrencial quebrada Guachucal,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",AVENIDA TORRENCIAL QUEBRADA GUACHUCAL,AVENIDA_TORRENCIAL,2795,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,ALTO,5
PASTO,Santa Elena,4526624,1687617,1.169455,-77.252761,2827,Río Juanambú,Avenida torrencial quebrada Guachucal,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",AVENIDA TORRENCIAL QUEBRADA GUACHUCAL,AVENIDA_TORRENCIAL,2827,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,ALTO,6
PASTO,Santa Elena,4528005,1687300,1.166613,-77.240373,3002,Río Juanambú,Avenida torrencial quebrada Guachucal,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",AVENIDA TORRENCIAL QUEBRADA GUACHUCAL,AVENIDA_TORRENCIAL,3002,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,ALTO,7
PASTO,El Socorro,4535452,1688287,1.175623,-77.173603,3199,Río Juanambú,Avenida torrencial,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",AVENIDA TORRENCIAL,AVENIDA_TORRENCIAL,3199,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,ALTO,8
PASTO,El Socorro,4535801,1688351,1.176206,-77.170474,3155,Río Juanambú,Avenida torrencial,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",AVENIDA TORRENCIAL,AVENIDA_TORRENCIAL,3155,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,ALTO,9
PASTO,El Socorro,4535853,1688426,1.176883,-77.170008,3151,Río Juanambú,Avenida torrencial,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",AVENIDA TORRENCIAL,AVENIDA_TORRENCIAL,3151,True,2024-12-27,2024,12,27,334,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}",True,ALTO,10
