poblacion_total,año,fuente,codigo_dane,municipio
413484,2024,DANE - Proyecciones (Nueva Fuente),,PASTO
10070,2024,DANE - Proyecciones (Nueva Fuente),,ALBÁN
7769,2024,DANE - Proyecciones (Nueva Fuente),,ALDANA
9108,2024,DANE - Proyecciones (Nueva Fuente),,ANCUYA
9146,2024,DANE - Proyecciones (Nueva Fuente),,ARBOLEDA
58608,2024,DANE - Proyecciones (Nueva Fuente),,BARBACOAS
6636,2024,DANE - Proyecciones (Nueva Fuente),,BELÉN
25063,2024,DANE - Proyecciones (Nueva Fuente),,BUESACO
8904,2024,DANE - Proyecciones (Nueva Fuente),,COLÓN
14480,2024,DANE - Proyecciones (Nueva Fuente),,CONSACÁ
7618,2024,DANE - Proyecciones (Nueva Fuente),,CONTADERO
16338,2024,DANE - Proyecciones (Nueva Fuente),,CÓRDOBA
9675,2024,DANE - Proyecciones (Nueva Fuente),,CUASPUD CARLOSAMA
38792,2024,DANE - Proyecciones (Nueva Fuente),,CUMBAL
6188,2024,DANE - Proyecciones (Nueva Fuente),,CUMBITARA
15949,2024,DANE - Proyecciones (Nueva Fuente),,CHACHAGÜÍ
23249,2024,DANE - Proyecciones (Nueva Fuente),,EL CHARCO
7776,2024,DANE - Proyecciones (Nueva Fuente),,EL PEÑOL
12935,2024,DANE - Proyecciones (Nueva Fuente),,EL ROSARIO
15092,2024,DANE - Proyecciones (Nueva Fuente),,EL TABLÓN DE GÓMEZ
14900,2024,DANE - Proyecciones (Nueva Fuente),,EL TAMBO
7535,2024,DANE - Proyecciones (Nueva Fuente),,FUNES
20466,2024,DANE - Proyecciones (Nueva Fuente),,GUACHUCAL
11990,2024,DANE - Proyecciones (Nueva Fuente),,GUAITARILLA
7398,2024,DANE - Proyecciones (Nueva Fuente),,GUALMATÁN
7995,2024,DANE - Proyecciones (Nueva Fuente),,ILES
7994,2024,DANE - Proyecciones (Nueva Fuente),,IMUÉS
121546,2024,DANE - Proyecciones (Nueva Fuente),,IPIALES
19528,2024,DANE - Proyecciones (Nueva Fuente),,LA CRUZ
10516,2024,DANE - Proyecciones (Nueva Fuente),,LA FLORIDA
6683,2024,DANE - Proyecciones (Nueva Fuente),,LA LLANADA
7709,2024,DANE - Proyecciones (Nueva Fuente),,LA TOLA
33456,2024,DANE - Proyecciones (Nueva Fuente),,LA UNIÓN
10207,2024,DANE - Proyecciones (Nueva Fuente),,LEIVA
10592,2024,DANE - Proyecciones (Nueva Fuente),,LINARES
9809,2024,DANE - Proyecciones (Nueva Fuente),,LOS ANDES
26143,2024,DANE - Proyecciones (Nueva Fuente),,MAGÜÍ
9440,2024,DANE - Proyecciones (Nueva Fuente),,MALLAMA
12625,2024,DANE - Proyecciones (Nueva Fuente),,MOSQUERA
4545,2024,DANE - Proyecciones (Nueva Fuente),,NARIÑO
26469,2024,DANE - Proyecciones (Nueva Fuente),,OLAYA HERRERA
7439,2024,DANE - Proyecciones (Nueva Fuente),,OSPINA
14944,2024,DANE - Proyecciones (Nueva Fuente),,FRANCISCO PIZARRO
10386,2024,DANE - Proyecciones (Nueva Fuente),,POLICARPA
10777,2024,DANE - Proyecciones (Nueva Fuente),,POTOSÍ
5818,2024,DANE - Proyecciones (Nueva Fuente),,PROVIDENCIA
8924,2024,DANE - Proyecciones (Nueva Fuente),,PUERRES
18277,2024,DANE - Proyecciones (Nueva Fuente),,PUPIALES
20676,2024,DANE - Proyecciones (Nueva Fuente),,RICAURTE
13328,2024,DANE - Proyecciones (Nueva Fuente),,ROBERTO PAYÁN
30137,2024,DANE - Proyecciones (Nueva Fuente),,SAMANIEGO
21386,2024,DANE - Proyecciones (Nueva Fuente),,SANDONÁ
9644,2024,DANE - Proyecciones (Nueva Fuente),,SAN BERNARDO
19392,2024,DANE - Proyecciones (Nueva Fuente),,SAN LORENZO
15941,2024,DANE - Proyecciones (Nueva Fuente),,SAN PABLO
7167,2024,DANE - Proyecciones (Nueva Fuente),,SAN PEDRO DE CARTAGO
14144,2024,DANE - Proyecciones (Nueva Fuente),,SANTA BÁRBARA
11352,2024,DANE - Proyecciones (Nueva Fuente),,SANTACRUZ
7678,2024,DANE - Proyecciones (Nueva Fuente),,SAPUYES
18629,2024,DANE - Proyecciones (Nueva Fuente),,TAMINANGO
14162,2024,DANE - Proyecciones (Nueva Fuente),,TANGUA
267010,2024,DANE - Proyecciones (Nueva Fuente),,SAN ANDRÉS DE TUMACO
46757,2024,DANE - Proyecciones (Nueva Fuente),,TÚQUERRES
11496,2024,DANE - Proyecciones (Nueva Fuente),,YACUANQUER
