municipio,vereda,coordenada_x,coordenada_y,latitud,longitud,altura,cuenca_hidrogr_fica,fen_meno_natural,n_mero_informe,fecha_reporte,enlace_a_reporte
Pasto,Jamondino,4524419,1689768,1.188839,-77.272563,2615,Río Juanambú,Avenida torrencial quebrada Guachucal represamiento,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,Santa Elena,4525650,1688285,1.175471,-77.261504,2725,Río Juanambú,Avenida torrencial vereda Santa Helena,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,Santa Elena,4525796,1688233,1.175004,-77.260194,2732,Río Juanambú,Estructura hidráulica obstruida,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,Santa Elena,4525960,1687956,1.172506,-77.25872,2759,Río Juanambú,Valle de las Piedras,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,Santa Elena,4526479,1687726,1.170437,-77.254063,2795,Río Juanambú,Avenida torrencial quebrada Guachucal,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,Santa Elena,4526624,1687617,1.169455,-77.252761,2827,Río Juanambú,Avenida torrencial quebrada Guachucal,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,Santa Elena,4528005,1687300,1.166613,-77.240373,3002,Río Juanambú,Avenida torrencial quebrada Guachucal,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,El Socorro,4535452,1688287,1.175623,-77.173603,3199,Río Juanambú,Avenida torrencial,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,El Socorro,4535801,1688351,1.176206,-77.170474,3155,Río Juanambú,Avenida torrencial,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,El Socorro,4535853,1688426,1.176883,-77.170008,3151,Río Juanambú,Avenida torrencial,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,El Socorro,4535854,1688447,1.177073,-77.17,3157,Río Juanambú,Avenida torrencial,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,El Socorro,4536256,1688659,1.178992,-77.166397,3104,Río Juanambú,Deslizamiento,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,El Socorro,4535962,1688822,1.180459,-77.169036,3204,Río Juanambú,Deslizamiento en alta pendiente,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
Pasto,El Socorro,4536548,1689031,1.182354,-77.163783,3078,Río Juanambú,Avenida torrencial y deslizamiento,1037,2024-12-27T00:00:00.000,"{'url': 'http://corponarino.gov.co/wp-content/uploads/2025/02/IS-1037_2024_PASTO.pdf', 'description': 'Informe'}"
